Curator	Curator's notes	Deadline	Category	Song	Nathan	Rachel	Emily	Jonathan	Tera	Erik	Nana	Goose	Kristin	Jacob	Andreina	George	Jane	Tyler	Molly	Megan	Anna W	Average
Jonathan	This is also more for modern cultural/ political value, although I do enjoy the music. Warning ⚠️ the lyrics are in German.  Rammstein is one of Germany’s most famous bands. Their genre is electro-industrial rock. This song has been very popular in Germany since its release in 2019.   This song dissects the fraught history of German cultural and political identity. I think it’s really effective at exploring the passion and discomfort in the internal process of national identity creation, deconstruction, and transformation.   The chorus translates: Germany  My heart in flames Want to love you and damn you My breath is cold So young and yet so old Your love is a blessing and a curse  My love I cannot give you  If you can handle a little bit of grotesque violence, I highly recommend the music video. It is a masterpiece and gives so much depth and context to the song.	3/8	Pop	Deutschland - Rammstein	2.0	3.0	8.5		6.0	2.0	2.0	3.5							5.5	5.0	2.0	4.0
Tera	Happy Easter! This song lifts my soul up in joy. It is Mary Magdalene singing her praise at the garden tomb after learning that Jesus had risen. In case anyone doesn’t know - this entire album has been my most played album on Spotify for a few years now ❤️	3/15	Not Pop	Gloria (My Savior Lives) - Rob Gardner	5.0	7.0	7.0	7.0		8.0	7.5	9.0				6.0			8.0		7.0	7.2
Tera	This song I found on a random cassette tape I checked out from the library when emily was a baby, and I fell in love with it immediately. I sang it to all my kids over and over, since it was perfect for my alto voice in those early mornings trying to lull them back to sleep (as opposed to Olivia newton john’s album) AND it reminded me how much I cherished my one-on-one time helping to soothe each child I was lucky enough to “have”. 	3/15	Pop	I Have You - Connie Kaldor	5.0	5.0	7.0	5.5		8.0	8.5	4.0				4.0			2.0		5.0	5.4
Tera	This one is long, so cut off whatever time is needful at the end. However, I LOVE IT! It was the first orchestral piece I ever studied by following along with the score - and being able to finally “see” what I was hearing was transformational. I will look for a score that follows along tomorrow and point out my favorite parts that stood out and gave me chills. It is orchestral impressionistic art at its finest!!	3/15	Not Pop	Debussy - Afternoon of a Faun - Debussy	8.0	5.0	10.0	8.5		9.0	7.5	7.0				9.0			8.5		9.0	8.2
Erik	Couch is my favorite band currently.  Nathan and flew to Denver to see them live last year.  They were awesome and as good live and in the studio. I like how this song builds.  Both with vocals and instruments over the course of the song.  I love the drop at 2:05.  Her vocals are just so compelling. I also like how the positive outward facing message switches to self-reflection and self-improvement in the bridge, then heads back out with a big chorus at 3:00.  I can’t help myself from smiling when I listen to this all the way through. 	3/22	Pop	Alright - Couch	5.5	7.0	7.0	5.0	6.0		6.8	2.0	6.0				6.0		4.5			5.6
Erik	Notd is a swedish EDM duo.  They met in high school.  I still love ZEDD and would have included one of their songs, but I thought I would branch out with my recommendation.  I just like the vibe and beat of this song.	3/22	Pop	AM:PM - NOTD	5.5	7.5	5.0	6.0	6.0		2.5	7.0	5.0				7.5		8.0			6.0
Erik	Gregson is a living English composer.  I love the simplicity of the concerto/tone poem piece.  The opening strings build then fades away as the beautiful piano melody takes over.  He wrote this as a dedication to his fiancee’ Sue, who later became his wife.  Nothing too fancy or overpowering, but very endearing.	3/22	Not Pop	Song for Sue - Edward Gregson	5.5	9.0	4.5	7.0	8.0		8.5	4.0	8.0				5.0		7.0			6.7
Nana	Kurt Bestor is an American Composer of New Age music introduced in the late 80’s. I went to several of his concerts. Summer Portrait is a favorite because of the Harmonica. Harmonica ‘s are usually associated with country, jazz, or folk music . This is a new genre for this seldom heard instrument.	3/29	Not Pop	Summer Portrait - Kurt Bestor	4.0	4.5	4.0	5.5	7.0	9.0		8.0	9.0					3.3	5.0			5.9
Nana	As a child, we had no more than 12 record albums (33rpm’s) and Nat King Cole was one of them. My mother and father‘s favorite. Nate rose to fame in the 1930s. He died in 1965. 30 years later his daughter Natalie Cole released “ Unforgettable” on a grammy award album of the year, 7 x platinum. Technology had allowed her to sing a duet with her deceased father. I have chosen another duet with the two, “ When I Fall in Love” . The French reminds me of the time I spent in France and Natalie’s last words on the album are a nod to my father. Je t’aime papa! 	3/29	Pop	When I Fall In Love - Natalie Cole	2.0	3.0	6.0	6.0	3.0	8.0		4.0	6.0					7.0	3.0			4.8
Nana	I like country! I went to the bluebird at the Symphony with Erik and Emily in Nashville. There was a lot of discussion about how country songs are usually influenced by an experience or event. There is no question about the experience of Drew Parker in “Little Miss Saturday Night”. The sung is pure country and it makes me want to get up and country dance with my boots on!	3/29	Pop	Little Miss Saturday Night - Drew Parker	6.0	7.0	6.0	4.5	6.0	8.0		8.0	6.0					5.1	8.0			6.5
